Background,Dwelling Type ID,Dwelling Type Name,Age ID,Age Name,Gender ID,Gender Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,040-49,40-49 years,1,men,6955,6793,6557,6544,6423,6249,6108,5969,6002
,,,,,2,women,8126,7895,7601,7437,7301,7038,6902,6807,6705
,,,,,4,men and women,15081,14688,14158,13981,13724,13287,13010,12776,12707
,,,050-59,50-59 years,1,men,6514,6387,6562,6727,6990,7074,6949,6858,6901
,,,,,2,women,7156,7135,7357,7564,7767,7851,7849,7739,7739
,,,,,4,men and women,13670,13522,13919,14291,14757,14925,14798,14597,14640
,,,060-64,60-64 years,1,men,3409,3315,3145,3079,3238,3234,3174,3177,3140
,,,,,2,women,3665,3569,3526,3492,3553,3543,3554,3561,3592
,,,,,4,men and women,7074,6884,6671,6571,6791,6777,6728,6738,6732
,,,065-69,65-69 years,1,men,3483,3459,3369,3349,3367,3316,3250,3093,3036
,,,,,2,women,3808,3840,3824,3803,3810,3805,3699,3638,3611
,,,,,4,men and women,7291,7299,7193,7152,7177,7121,6949,6731,6647
,,,070-79,70-79 years,1,men,4372,4534,4843,5120,5566,5836,5879,6097,6184
,,,,,2,women,5883,5981,6290,6643,7019,7300,7453,7773,7848
,,,,,4,men and women,10255,10515,11133,11763,12585,13136,13332,13870,14032
,,,080+,80+ years,1,men,3050,3006,3001,3078,3124,3166,3206,3290,3329
,,,,,2,women,5618,5474,5455,5446,5530,5528,5577,5650,5702
,,,,,4,men and women,8668,8480,8456,8524,8654,8694,8783,8940,9031
,FBBO,multi-dwelling buildings -- tenant-owned,0-9,-9 years,1,men,49006,50725,52681,53838,54870,55695,56550,57625,57703
,,,,,2,women,46822,48716,50098,51102,52375,52863,53571,54708,54685
,,,,,4,men and women,95828,99441,102779,104940,107245,108558,110121,112333,112388
,,,010-19,10-19 years,1,men,31928,31841,32184,32819,33782,34965,36249,38070,39322
,,,,,2,women,31606,31395,31948,32492,33568,34778,36015,37554,38896
,,,,,4,men and women,63534,63236,64132,65311,67350,69743,72264,75624,78218
,,,020-29,20-29 years,1,men,96473,100108,104454,107398,109485,111296,112327,111892,109165
,,,,,2,women,91974,95978,100742,104208,107440,109168,110251,109100,106260
,,,,,4,men and women,188447,196086,205196,211606,216925,220464,222578,220992,215425
,,,030-39,30-39 years,1,men,84860,84823,85222,86105,87562,89625,92621,96421,99772
,,,,,2,women,67306,67621,67928,68667,70280,71937,74562,78024,80910
,,,,,4,men and women,152166,152444,153150,154772,157842,161562,167183,174445,180682
,,,040-49,40-49 years,1,men,60209,61253,62121,62143,61878,61431,61277,61699,61607
,,,,,2,women,54264,55104,55448,55222,54992,54415,54262,54706,54784
,,,,,4,men and women,114473,116357,117569,117365,116870,115846,115539,116405,116391
,,,050-59,50-59 years,1,men,58984,59827,61812,63389,64840,66176,66932,67936,68691
,,,,,2,women,64870,65398,67470,68964,70292,71238,72009,72426,72719
,,,,,4,men and women,123854,125225,129282,132353,135132,137414,138941,140362,141410
,,,060-64,60-64 years,1,men,33568,33240,33177,33003,33542,33591,33516,33654,33521
,,,,,2,women,40071,39408,38743,38272,38490,38371,37852,38068,37796
,,,,,4,men and women,73639,72648,71920,71275,72032,71962,71368,71722,71317
,,,065-69,65-69 years,1,men,37240,37938,37724,36973,36062,35463,34866,34466,33969
,,,,,2,women,47599,48054,47672,46461,44906,43541,42545,41539,40795
,,,,,4,men and women,84839,85992,85396,83434,80968,79004,77411,76005,74764
,,,070-79,70-79 years,1,men,49647,52763,56878,60299,63782,66445,69163,71514,73013
,,,,,2,women,71429,74825,79577,83724,87490,90680,93393,95703,97136
,,,,,4,men and women,121076,127588,136455,144023,151272,157125,162556,167217,170149
,,,080+,80+ years,1,men,34487,34482,34763,35145,35730,36501,37420,38691,39392
,,,,,2,women,63888,63313,63307,63132,63452,63814,64490,65861,66865
,,,,,4,men and women,98375,97795,98070,98277,99182,100315,101910,104552,106257
